feature,psi
Time,12.433411677425093
hour_sin,5.0862077511155395
hour_cos,4.977148555628046
V1,1.3505284064599175
V3,0.9154777210867493
V28,0.6418670295011604
V11,0.3963500052732921
V25,0.3217136794136266
V12,0.25896971322815604
V15,0.2473914990106254
V22,0.19707150335304494
V5,0.19160761053354894
V4,0.1669499290969575
V23,0.155643534218471
V26,0.15417392871788949
V24,0.1503191324385824
V21,0.12121456130436675
V14,0.09598801825519909
V7,0.08773629982021275
V6,0.0733502356891211
V9,0.07297291005844989
V20,0.0646735536290157
V8,0.05204716620182943
V13,0.05049226354917763
V27,0.048963145245905726
V17,0.04805304551786803
V10,0.03882810006423461
V19,0.03256817470294332
V18,0.03099420641869687
V2,0.020049853100888172
Amount,0.00998157672709071
log_amount,0.00998157672709071
V16,0.009145251281913281
amount_fractional,0.007633693762460554
day_index,0.0
