feature,importance
V14,0.17721385125770525
V17,0.10668331443239298
V12,0.09249129938061407
V4,0.08146296336790348
V16,0.0813938881673204
V10,0.07299007412291403
V11,0.06726414534301943
V7,0.039617916971168066
V3,0.030051096803163282
V2,0.026256509866356702
V18,0.025274021359619182
V21,0.022528007094282345
V5,0.01955486238930187
V1,0.013139661560299281
V19,0.012888854096387537
V8,0.011211845676456238
log_amount,0.010474815117569237
V9,0.010338014416547296
V6,0.009996243787352373
Amount,0.009701396195093769
V20,0.009361924638446926
V27,0.008018617972097864
V28,0.00703255695035378
V23,0.006799480966678035
V15,0.006585613337516829
V13,0.006476051155447819
hour_sin,0.005438913807881476
hour_cos,0.0052397543977317496
V25,0.004932491815451885
V22,0.0045145273763742685
V26,0.0043558266798665
Time,0.004213705699279082
V24,0.003435192862959272
amount_fractional,0.0026590296632610345
day_index,0.0004035312711865683
